銘柄コード,銘柄名,市場名,日経225採用銘柄
2531,宝ホールディングス(株),東証1部,1
2533,オエノンホールディングス(株),東証1部,
2538,ジャパン・フード＆リカー・アライアンス(株),東証2部,
2540,養命酒製造(株),東証1部,
2551,マルサンアイ(株),名証2部,
2573,北海道コカ・コーラボトリング(株),東証2部,
2579,コカ・コーラボトラーズジャパン(株),東証1部,
2586,(株)フルッタフルッタ,マザーズ,
2587,サントリー食品インターナショナル(株),東証1部,
2588,(株)プレミアムウォーターホールディングス,東証2部,
2590,ダイドーグループホールディングス(株),東証1部,
2593,(株)伊藤園,東証1部,
2594,キーコーヒー(株),東証1部,
2597,(株)ユニカフェ,東証1部,
2599,ジャパンフーズ(株),東証1部,
2602,日清オイリオグループ(株),東証1部,
2607,不二製油グループ本社(株),東証1部,
2608,ボーソー油脂(株),東証2部,
2612,かどや製油(株),東証1部,
2613,(株)Ｊ?オイルミルズ,東証1部,
2651,(株)ローソン,東証1部,
2652,(株)まんだらけ,東証2部,
2653,イオン九州(株),東証JQS,
2654,(株)アスモ,東証2部,
2655,マックスバリュ東北(株),東証2部,
2656,(株)ベクター,東証JQS,
2659,(株)サンエー,東証1部,
2664,(株)カワチ薬品,東証1部,
2666,(株)オートウェーブ,東証JQS,
2667,(株)イメージ　ワン,東証JQS,
2668,タビオ(株),東証2部,
2669,カネ美食品(株),東証JQS,
2670,(株)エービーシー・マート,東証1部,
2673,夢みつけ隊(株),東証JQS,
2674,(株)ハードオフコーポレーション,東証1部,
2675,(株)ダイナック,東証2部,
2676,高千穂交易(株),東証1部,
2678,アスクル(株),東証1部,
2681,(株)ゲオホールディングス,東証1部,
2683,(株)魚喜,東証2部,
2685,(株)アダストリア,東証1部,
2686,(株)ジーフット,東証1部,
2687,(株)シー・ヴイ・エス・ベイエリア,東証1部,
2689,(株)カワニシホールディングス,東証2部,
2692,伊藤忠食品(株),東証1部,
2693,ＹＫＴ(株),東証JQS,
2694,(株)ジー・テイスト,東証JQS,
2695,(株)くらコーポレーション,東証1部,
2698,(株)キャンドゥ,東証1部,
2700,木徳神糧(株),東証JQS,
2702,日本マクドナルドホールディングス(株),東証JQS,
2703,日本ライトン(株),東証JQS,
2705,(株)大戸屋ホールディングス,東証JQS,
2706,(株)ブロッコリー,東証JQS,
2708,(株)久世,東証JQS,
2714,プラマテルズ(株),東証JQS,
2715,エレマテック(株),東証1部,
2719,(株)キタムラ,東証2部,
2721,(株)ジェイホールディングス,東証JQS,
2722,(株)アイケイ,東証JQS,
2726,(株)パルグループホールディングス,東証1部,
2729,(株)ＪＡＬＵＸ,東証1部,
2730,(株)エディオン,東証1部,
2733,(株)あらた,東証1部,
2734,(株)サーラコーポレーション,東証1部,
2735,(株)ワッツ,東証1部,
2736,(株)サダマツ,東証JQS,
2737,(株)トーメンデバイス,東証1部,
2742,(株)ハローズ,東証1部,
2743,ピクセルカンパニーズ(株),東証JQS,
2747,北雄ラッキー(株),東証JQS,
2749,(株)ＪＰホールディングス,東証1部,
2750,石光商事(株),東証JQS,
2751,(株)テンポスバスターズ,東証JQS,
2752,(株)フジオフードシステム,東証JQS,
2753,(株)あみやき亭,東証1部,
2754,(株)東葛ホールディングス,東証JQS,
2760,東京エレクトロン　デバイス(株),東証1部,
2761,トシン・グループ(株),東証JQS,
2762,(株)三光マーケティングフーズ,東証2部,
2763,(株)エフティグループ,東証JQS,
2764,(株)ひらまつ,東証1部,
2767,フィールズ(株),東証1部,
2768,双日(株),東証1部,1
2769,(株)ヴィレッジヴァンガードコーポレーション,東証JQS,
2772,ゲンキー(株),東証1部,
2773,(株)ミューチュアル,東証JQS,
2776,(株)クリムゾン,東証JQS,
2777,(株)カッシーナ・イクスシー,東証JQS,
2778,(株)パレモ,東証JQS,
2780,(株)コメ兵,東証2部,
2782,(株)セリア,東証JQS,
2784,アルフレッサ　ホールディングス(株),東証1部,
2788,アップルインターナショナル(株),東証2部,
2789,(株)カルラ,東証JQS,
2790,(株)ナフコ,東証JQS,
2791,大黒天物産(株),東証1部,
2792,(株)ハニーズホールディングス,東証1部,
2795,日本プリメックス(株),東証JQS,
2796,ファーマライズホールディングス(株),東証1部,
2798,(株)ワイズテーブルコーポレーション,東証2部,
2801,キッコーマン(株),東証1部,1
2802,味の素(株),東証1部,1
2804,ブルドックソース(株),東証2部,
2805,ヱスビー食品(株),東証2部,
2806,ユタカフーズ(株),東証2部,
2809,キユーピー(株),東証1部,
2810,ハウス食品グループ本社(株),東証1部,
2811,カゴメ(株),東証1部,
2812,焼津水産化学工業(株),東証1部,
2813,和弘食品(株),東証JQS,
2814,佐藤食品工業(株),東証JQS,
2815,アリアケジャパン(株),東証1部,
2816,(株)ダイショー,東証2部,
2818,(株)ピエトロ,東証1部,
2819,エバラ食品工業(株),東証1部,
2820,(株)やまみ,東証JQS,
2830,アヲハタ(株),東証2部,
2831,はごろもフーズ(株),東証2部,
2871,(株)ニチレイ,東証1部,1
2872,(株)セイヒョー,東証2部,
2874,ヨコレイ,東証1部,
2875,東洋水産(株),東証1部,
2876,(株)ジェーシー・コムサ,東証JQS,
2877,日東ベスト(株),東証JQS,
2882,イートアンド(株),東証1部,
2883,(株)大冷,東証1部,
2884,(株)ヨシムラ・フード・ホールディングス,東証1部,
2892,日本食品化工(株),東証2部,
2894,石井食品(株),東証2部,
2897,日清食品ホールディングス(株),東証1部,
2899,(株)永谷園ホールディングス,東証1部,
2901,石垣食品(株),東証JQS,
2902,太陽化学(株),名証2部,
2903,シノブフーズ(株),東証2部,
2904,一正蒲鉾(株),東証1部,
2905,オーケー食品工業(株),東証JQS,
2907,(株)あじかん,東証2部,
2908,フジッコ(株),東証1部,
2910,(株)ロック・フィールド,東証1部,
2911,旭松食品(株),東証2部,
2914,ＪＴ,東証1部,1
2915,ケンコーマヨネーズ(株),東証1部,
2916,仙波糖化工業(株),東証JQS,
2917,(株)大森屋,東証JQS,
2918,わらべや日洋ホールディングス(株),東証1部,
2919,(株)マルタイ,福証,
2922,(株)なとり,東証1部,
2923,サトウ食品工業(株),東証2部,
2924,イフジ産業(株),東証1部,
2925,(株)ピックルスコーポレーション,東証2部,
2926,(株)篠崎屋,東証2部,
2927,(株)ＡＦＣ?ＨＤアムスライフサイエンス,東証JQS,
2928,ＲＩＺＡＰグループ(株),札幌ア,
2929,(株)ファーマフーズ,東証2部,
2930,(株)北の達人コーポレーション,東証1部,
2931,(株)ユーグレナ,東証1部,
3001,片倉工業(株),東証1部,
3002,グンゼ(株),東証1部,
3003,ヒューリック(株),東証1部,
3004,神栄(株),東証1部,
3010,価値開発(株),東証2部,
3011,(株)バナーズ,東証2部,
3020,アプライド(株),東証JQS,
3021,(株)パシフィックネット,東証2部,
3022,山下医科器械(株),東証1部,
3023,ラサ商事(株),東証1部,
